Place,Status,Region,Lat,Lon,Elev,Pop,Bed,Bath,Price,isFurnished
Lateman,3,1,5.75,-0.15,242,80913,7,7,2587,0
Tesa,1,1,5.63,-0.13,232,437914,7,7,2587,0
Tesano,1,1,5.60,-0.23,301,781298,7,7,2587,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1903,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1903,0
Legion,1,1,5.65,-0.18,249,445789,4,3,1087,0
Legon,1,1,5.65,-0.18,249,445789,4,3,1087,0
Cantonments,1,1,5.58,-0.18,259,678313,4,3,1359,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,3,4,1359,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,3,4,1359,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,3,4,1359,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,3,4,1359,0
Industrial Area,1,1,5.64,-0.12,232,366550,3,4,1359,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,3,4,1359,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1087,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1087,0
Cantonments,1,1,5.58,-0.18,259,678313,5,6,4351,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1903,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1903,0
Legion,1,1,5.65,-0.18,249,445789,3,4,1087,0
Legon,1,1,5.65,-0.18,249,445789,3,4,1087,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,3,4,1903,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,3,4,1903,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,3,4,1903,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,3,4,1903,0
Industrial Area,1,1,5.64,-0.12,232,366550,3,4,1903,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,3,4,1903,0
Legion,1,1,5.65,-0.18,249,445789,5,5,2447,0
Legon,1,1,5.65,-0.18,249,445789,5,5,2447,0
Cantonments,1,1,5.58,-0.18,259,678313,4,5,2719,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,2,815,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1903,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1903,0
Lateman,3,1,5.75,-0.15,242,80913,7,7,2587,0
Tesa,1,1,5.63,-0.13,232,437914,7,7,2587,0
Tesano,1,1,5.60,-0.23,301,781298,7,7,2587,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1903,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1903,0
Legion,1,1,5.65,-0.18,249,445789,4,3,1087,0
Legon,1,1,5.65,-0.18,249,445789,4,3,1087,0
Cantonments,1,1,5.58,-0.18,259,678313,4,3,1359,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,3,4,1359,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,3,4,1359,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,3,4,1359,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,3,4,1359,0
Industrial Area,1,1,5.64,-0.12,232,366550,3,4,1359,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,3,4,1359,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1087,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1087,0
Cantonments,1,1,5.58,-0.18,259,678313,5,6,4351,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1903,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1903,0
Legion,1,1,5.65,-0.18,249,445789,3,4,1087,0
Legon,1,1,5.65,-0.18,249,445789,3,4,1087,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,3,4,1903,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,3,4,1903,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,3,4,1903,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,3,4,1903,0
Industrial Area,1,1,5.64,-0.12,232,366550,3,4,1903,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,3,4,1903,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,,,2719,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,,,2719,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,,,2719,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,,,2719,0
Industrial Area,1,1,5.64,-0.12,232,366550,,,2719,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,,,2719,0
Cantonments,1,1,5.58,-0.18,259,678313,4,5,2175,0
Legion,1,1,5.65,-0.18,249,445789,4,5,13597,1
Legon,1,1,5.65,-0.18,249,445789,4,5,13597,1
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,6,7,4895,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,6,7,4895,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,6,7,4895,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,6,7,4895,0
Industrial Area,1,1,5.64,-0.12,232,366550,6,7,4895,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,6,7,4895,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,4,5,2066,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,4,5,2066,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,4,5,2066,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,4,5,2066,0
Industrial Area,1,1,5.64,-0.12,232,366550,4,5,2066,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,4,5,2066,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1903,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1903,0
Achiaman,1,1,5.70,-0.33,236,122026,5,5,652,0
Achimota,1,1,5.62,-0.23,272,689820,5,5,652,0
Achimota Forest,1,1,5.62,-0.22,259,702116,5,5,652,0
Awchioma,3,1,5.77,-0.28,830,63716,5,5,652,0
New Achimota,1,1,5.63,-0.26,265,587895,5,5,652,0
Legion,1,1,5.65,-0.18,249,445789,12,13,40792,1
Legon,1,1,5.65,-0.18,249,445789,12,13,40792,1
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,9,10,7070,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,9,10,7070,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,9,10,7070,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,9,10,7070,0
Industrial Area,1,1,5.64,-0.12,232,366550,9,10,7070,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,9,10,7070,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,,,2719,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,,,2719,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,,,2719,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,,,2719,0
Industrial Area,1,1,5.64,-0.12,232,366550,,,2719,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,,,2719,0
Cantonments,1,1,5.58,-0.18,259,678313,4,5,2175,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,8,9,3263,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,8,9,3263,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,8,9,3263,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,8,9,3263,0
Industrial Area,1,1,5.64,-0.12,232,366550,8,9,3263,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,8,9,3263,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,6,7,2719,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,6,7,2719,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,6,7,2719,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,6,7,2719,0
Industrial Area,1,1,5.64,-0.12,232,366550,6,7,2719,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,6,7,2719,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,4,5,1903,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,4,5,1903,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,4,5,1903,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,4,5,1903,0
Industrial Area,1,1,5.64,-0.12,232,366550,4,5,1903,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,4,5,1903,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1087,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1087,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1631,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1631,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,4,5,2447,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,4,5,2447,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,4,5,2447,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,4,5,2447,0
Industrial Area,1,1,5.64,-0.12,232,366550,4,5,2447,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,4,5,2447,0
Legion,1,1,5.65,-0.18,249,445789,5,6,1903,0
Legon,1,1,5.65,-0.18,249,445789,5,6,1903,0
Legion,1,1,5.65,-0.18,249,445789,7,6,1903,0
Legon,1,1,5.65,-0.18,249,445789,7,6,1903,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,4,5,24475,1
Airport Residential Area,1,1,5.61,-0.18,249,760954,4,5,24475,1
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,4,5,24475,1
East Legon Residential Area,1,1,5.63,-0.16,242,558807,4,5,24475,1
Industrial Area,1,1,5.64,-0.12,232,366550,4,5,24475,1
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,4,5,24475,1
Cantonments,1,1,5.58,-0.18,259,678313,4,5,2447,0
Legion,1,1,5.65,-0.18,249,445789,5,5,2719,0
Legon,1,1,5.65,-0.18,249,445789,5,5,2719,0
North Dzorwulu,1,1,5.62,-0.19,249,690794,4,4,1631,0
Legion,1,1,5.65,-0.18,249,445789,5,5,1265,0
Legon,1,1,5.65,-0.18,249,445789,5,5,1265,0
Legion,1,1,5.65,-0.18,249,445789,9,10,3807,0
Legon,1,1,5.65,-0.18,249,445789,9,10,3807,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,5,5,3807,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,5,5,3807,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,5,5,3807,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,5,5,3807,0
Industrial Area,1,1,5.64,-0.12,232,366550,5,5,3807,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,5,5,3807,0
East Ridge,1,1,5.56,-0.19,282,575806,4,4,2447,0
North Kaneshie,1,1,5.59,-0.24,331,810299,4,4,2447,0
North Ridge,1,1,5.57,-0.19,282,575806,4,4,2447,0
West Ridge,1,1,5.56,-0.20,298,623367,4,4,2447,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1359,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1359,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,4,4,2887,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,4,4,2887,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,4,4,2887,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,4,4,2887,0
Industrial Area,1,1,5.64,-0.12,232,366550,4,4,2887,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,4,4,2887,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1359,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1359,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,4,4,2887,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,4,4,2887,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,4,4,2887,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,4,4,2887,0
Industrial Area,1,1,5.64,-0.12,232,366550,4,4,2887,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,4,4,2887,0
Oyamfa,1,1,5.74,-0.18,239,124661,4,4,697,0
Oyarifa,1,1,5.74,-0.18,239,124661,4,4,697,0
Oyauifa,1,1,5.74,-0.18,239,124661,4,4,697,0
Santa Maria,1,1,5.60,-0.26,305,670720,4,4,697,0
Oyamfa,1,1,5.74,-0.18,239,124661,4,4,8584,1
Oyarifa,1,1,5.74,-0.18,239,124661,4,4,8584,1
Oyauifa,1,1,5.74,-0.18,239,124661,4,4,8584,1
Santa Maria,1,1,5.60,-0.26,305,670720,4,4,8584,1
Cantonments,1,1,5.58,-0.18,259,678313,5,5,4456,0
Cantonments,1,1,5.58,-0.18,259,678313,5,5,3162,0
Cantonments,1,1,5.58,-0.18,259,678313,4,4,3162,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,2,2,1380,0
Ablemkpe,1,1,5.61,-0.22,269,800486,4,4,2006,0
Ablenkpe,1,1,5.61,-0.22,269,800486,4,4,2006,0
Legion,1,1,5.65,-0.18,249,445789,4,5,19036,1
Legon,1,1,5.65,-0.18,249,445789,4,5,19036,1
East Ridge,1,1,5.56,-0.19,282,575806,4,4,2006,0
North Kaneshie,1,1,5.59,-0.24,331,810299,4,4,2006,0
North Ridge,1,1,5.57,-0.19,282,575806,4,4,2006,0
West Ridge,1,1,5.56,-0.20,298,623367,4,4,2006,0
East Ridge,1,1,5.56,-0.19,282,575806,4,4,2300,0
North Ridge,1,1,5.57,-0.19,282,575806,4,4,2300,0
West Ridge,1,1,5.56,-0.20,298,623367,4,4,2300,0
Legion,1,1,5.65,-0.18,249,445789,6,6,2175,0
Legon,1,1,5.65,-0.18,249,445789,6,6,2175,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,3,3,16317,1
Airport Residential Area,1,1,5.61,-0.18,249,760954,3,3,16317,1
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,3,3,16317,1
East Legon Residential Area,1,1,5.63,-0.16,242,558807,3,3,16317,1
Industrial Area,1,1,5.64,-0.12,232,366550,3,3,16317,1
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,3,3,16317,1
Legion,1,1,5.65,-0.18,249,445789,7,7,2175,0
Legon,1,1,5.65,-0.18,249,445789,7,7,2175,0
Ablemkpe,1,1,5.61,-0.22,269,800486,4,4,2271,0
Ablenkpe,1,1,5.61,-0.22,269,800486,4,4,2271,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,4,4,3421,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,4,4,3421,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,4,4,3421,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,4,4,3421,0
Industrial Area,1,1,5.64,-0.12,232,366550,4,4,3421,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,4,4,3421,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1087,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1087,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,5,5,6037,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,5,5,6037,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,5,5,6037,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,5,5,6037,0
Industrial Area,1,1,5.64,-0.12,232,366550,5,5,6037,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,5,5,6037,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,6,6,3450,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,6,6,3450,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,6,6,3450,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,6,6,3450,0
Industrial Area,1,1,5.64,-0.12,232,366550,6,6,3450,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,6,6,3450,0
East Ridge,1,1,5.56,-0.19,282,575806,4,4,2386,0
North Kaneshie,1,1,5.59,-0.24,331,810299,4,4,2386,0
North Ridge,1,1,5.57,-0.19,282,575806,4,4,2386,0
West Ridge,1,1,5.56,-0.20,298,623367,4,4,2386,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,5,5,2719,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,7,8,3807,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,7,8,3807,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,7,8,3807,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,7,8,3807,0
Industrial Area,1,1,5.64,-0.12,232,366550,7,8,3807,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,7,8,3807,0
Legion,1,1,5.65,-0.18,249,445789,5,5,2012,0
Legon,1,1,5.65,-0.18,249,445789,5,5,2012,0
Legion,1,1,5.65,-0.18,249,445789,5,5,1903,0
Legon,1,1,5.65,-0.18,249,445789,5,5,1903,0
North Dzorwulu,1,1,5.62,-0.19,249,690794,4,4,5462,0
Legion,1,1,5.65,-0.18,249,445789,4,4,979,0
Legon,1,1,5.65,-0.18,249,445789,4,4,979,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,7,7,3535,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,7,7,3535,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,7,7,3535,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,7,7,3535,0
Industrial Area,1,1,5.64,-0.12,232,366550,7,7,3535,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,7,7,3535,0
Legion,1,1,5.65,-0.18,249,445789,4,4,652,0
Legon,1,1,5.65,-0.18,249,445789,4,4,652,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,5,6,2719,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,5,6,2719,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,5,6,2719,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,5,6,2719,0
Industrial Area,1,1,5.64,-0.12,232,366550,5,6,2719,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,5,6,2719,0
Cantonments,1,1,5.58,-0.18,259,678313,5,5,2991,0
Legon,1,1,5.65,-0.18,249,445789,4,4,761,0
North Ridge,1,1,5.57,-0.19,282,575806,4,4,761,0
Cantonments,1,1,5.58,-0.18,259,678313,4,4,3737,0
Legion,1,1,5.65,-0.18,249,445789,4,4,2990,0
Legon,1,1,5.65,-0.18,249,445789,4,4,2990,0
Cantonments,1,1,5.58,-0.18,259,678313,3,3,1035,0
Legon,1,1,5.65,-0.18,249,445789,4,5,500,0
Legon,1,1,5.65,-0.18,249,445789,5,5,400,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1903,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,4,16317,1
Ajiringano,1,1,5.63,-0.13,232,437914,4,4,16317,1
Legion,1,1,5.65,-0.18,249,445789,2,2,10878,1
Legon,1,1,5.65,-0.18,249,445789,2,2,10878,1
Trade Center,1,1,5.57,-0.15,246,490578,4,5,870,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,5,5,2175,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,5,5,2175,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,5,5,2175,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,5,5,2175,0
Industrial Area,1,1,5.64,-0.12,232,366550,5,5,2175,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,5,5,2175,0
Legion,1,1,5.65,-0.18,249,445789,7,7,2719,0
Legon,1,1,5.65,-0.18,249,445789,7,7,2719,0
Legion,1,1,5.65,-0.18,249,445789,5,5,1631,0
Legon,1,1,5.65,-0.18,249,445789,5,5,1631,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legion,1,1,5.65,-0.18,249,445789,3,3,1631,0
Legon,1,1,5.65,-0.18,249,445789,3,3,1631,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1359,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1359,0
Legion,1,1,5.65,-0.18,249,445789,4,4,15229,1
Legon,1,1,5.65,-0.18,249,445789,4,4,15229,1
Spintex Road,1,1,5.64,-0.10,219,306890,4,4,2175,0
Legion,1,1,5.65,-0.18,249,445789,5,5,2719,0
Legon,1,1,5.65,-0.18,249,445789,5,5,2719,0
Legion,1,1,5.65,-0.18,249,445789,3,3,815,0
Legon,1,1,5.65,-0.18,249,445789,3,3,815,0
West Legon Residential,1,1,5.65,-0.21,249,494494,3,3,815,0
Legion,1,1,5.65,-0.18,249,445789,5,5,2447,0
Legon,1,1,5.65,-0.18,249,445789,5,5,2447,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,4,5,3535,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,4,5,3535,0
East Dzorwulu Residential Area,1,1,5.61,-0.19,249,738348,4,5,3535,0
East Legon Residential Area,1,1,5.63,-0.16,242,558807,4,5,3535,0
Industrial Area,1,1,5.64,-0.12,232,366550,4,5,3535,0
North Dzorwulu Residential Area,1,1,5.62,-0.19,249,690794,4,5,3535,0
Legion,1,1,5.65,-0.18,249,445789,4,5,1359,0
Legon,1,1,5.65,-0.18,249,445789,4,5,1359,0
Legion,1,1,5.65,-0.18,249,445789,3,3,543,0
Legon,1,1,5.65,-0.18,249,445789,3,3,543,0
Legion,1,1,5.65,-0.18,249,445789,5,5,1522,0
Legon,1,1,5.65,-0.18,249,445789,5,5,1522,0
Spintex Road,1,1,5.64,-0.10,219,306890,4,4,652,0
Legon,1,1,5.65,-0.18,249,445789,5,5,5200,1
Ajiringano,1,1,5.63,-0.13,232,437914,4,4,761,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1522,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1522,0
Adentan,1,1,5.70,-0.17,249,214429,3,3,326,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,4,1359,0
Ajiringano,1,1,5.63,-0.13,232,437914,3,3,380,0
Legion,1,1,5.65,-0.18,249,445789,4,4,10878,1
Legon,1,1,5.65,-0.18,249,445789,4,4,10878,1
Legion,1,1,5.65,-0.18,249,445789,3,3,815,0
Legon,1,1,5.65,-0.18,249,445789,3,3,815,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legion,1,1,5.65,-0.18,249,445789,3,3,543,0
Legon,1,1,5.65,-0.18,249,445789,3,3,543,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1087,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1087,0
Legion,1,1,5.65,-0.18,249,445789,3,3,1359,0
Legon,1,1,5.65,-0.18,249,445789,3,3,1359,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,4,979,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1903,0
Legion,1,1,5.65,-0.18,249,445789,4,6,1359,0
Legon,1,1,5.65,-0.18,249,445789,4,6,1359,0
Legion,1,1,5.65,-0.18,249,445789,5,5,1903,0
Legon,1,1,5.65,-0.18,249,445789,5,5,1903,0
North Dzorwulu,1,1,5.62,-0.19,249,690794,4,5,2719,0
Kwabenyan,1,1,5.69,-0.25,291,313428,4,3,170,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1087,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1087,0
Ajiringano,1,1,5.63,-0.13,232,437914,5,4,1890,0
Ajiringano,1,1,5.63,-0.13,232,437914,6,5,648,0
Ajiringano,1,1,5.63,-0.13,232,437914,4,3,1080,0
Ajiringano,1,1,5.63,-0.13,232,437914,3,2,9720,1
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,5,5,2447,0
Airport Hills Residential Area,1,1,5.62,-0.14,232,512727,4,4,2447,0
Airport Residential Area,1,1,5.61,-0.18,249,760954,4,4,2447,0
West Legon Residential,1,1,5.65,-0.21,249,494494,4,4,2447,0
Legion,1,1,5.65,-0.18,249,445789,2,2,3263,1
Legon,1,1,5.65,-0.18,249,445789,2,2,3263,1
Legion,1,1,5.65,-0.18,249,445789,8,5,543,0
Legon,1,1,5.65,-0.18,249,445789,8,5,543,0
West Legon Residential,1,1,5.65,-0.21,249,494494,8,5,543,0
Lateman,3,1,5.75,-0.15,242,80913,4,4,924,0
Tesa,1,1,5.63,-0.13,232,437914,4,4,924,0
Tesano,1,1,5.60,-0.23,301,781298,4,4,924,0
Katamanso,3,1,5.75,-0.08,246,74381,5,4,707,0
Spintex Road,1,1,5.64,-0.10,219,306890,5,5,24475,1
Legion,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1631,0
Cantonments,1,1,5.58,-0.18,259,678313,4,4,1903,0
Legion,1,1,5.65,-0.18,249,445789,5,4,652,0
Legon,1,1,5.65,-0.18,249,445789,5,4,652,0
West Legon Residential,1,1,5.65,-0.21,249,494494,5,4,652,0
Legion,1,1,5.65,-0.18,249,445789,6,6,1631,0
Legon,1,1,5.65,-0.18,249,445789,6,6,1631,0
Legion,1,1,5.65,-0.18,249,445789,3,3,1359,0
Legon,1,1,5.65,-0.18,249,445789,3,3,1359,0
Ajiringano,1,1,5.63,-0.13,232,437914,5,5,1359,0
Legion,1,1,5.65,-0.18,249,445789,5,5,1631,0
Legon,1,1,5.65,-0.18,249,445789,5,5,1631,0
Spintex Road,1,1,5.64,-0.10,219,306890,3,3,543,0
Cantonments,1,1,5.58,-0.18,259,678313,3,3,2719,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1522,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1522,0
Spintex Road,1,1,5.64,-0.10,219,306890,4,4,2447,0
Legion,1,1,5.65,-0.18,249,445789,2,2,3263,1
Legon,1,1,5.65,-0.18,249,445789,2,2,3263,1
Legion,1,1,5.65,-0.18,249,445789,8,5,543,0
Legon,1,1,5.65,-0.18,249,445789,8,5,543,0
West Legon Residential,1,1,5.65,-0.21,249,494494,8,5,543,0
Cantonments,1,1,5.58,-0.18,259,678313,14,5,4351,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1359,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1359,0
Cantonments,1,1,5.58,-0.18,259,678313,4,4,2447,0
East Ridge,1,1,5.56,-0.19,282,575806,4,4,1631,0
North Ridge,1,1,5.57,-0.19,282,575806,4,4,1631,0
West Ridge,1,1,5.56,-0.20,298,623367,4,4,1631,0
Katamanso,3,1,5.75,-0.08,246,74381,5,4,707,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1631,0
Legon,1,1,5.65,-0.18,249,445789,4,4,1631,0
Cantonments,1,1,5.58,-0.18,259,678313,3,4,1903,0
Ajiringano,1,1,5.63,-0.13,232,437914,3,3,543,0
East Ridge,1,1,5.56,-0.19,282,575806,4,4,2175,0
North Ridge,1,1,5.57,-0.19,282,575806,4,4,2175,0
West Ridge,1,1,5.56,-0.20,298,623367,4,4,2175,0
Legion,1,1,5.65,-0.18,249,445789,4,4,1631,0
